Project,FromLevel,ToLevel,InputMockCount,OutputMockCount,CCTRReduction,CCTRReductionPerTest,AffectedTestsCCTR,ReductionRatio,ReductionRatio_num,ecdf_x,ecdf_y
Ambari,1,0,1,5,5,1.0,19,26%,0.26,0.7073170731707317,0.26
Ambari,2,0,1,3,38,12.66666667,28,136%,1.36,1.0,1.36
Any23,1,0,1,2,1,0.5,1,100%,1.0,1.0,1.0
Apex,1,0,1,7,28,4.0,23,122%,1.22,1.0,1.22
Apex,1,0,1,2,8,4.0,16,50%,0.5,0.5,0.5
Archiva,2,0,1,3,5,1.666666667,97,5%,0.05,0.043478260869565216,0.05
Archiva,2,0,1,3,5,1.666666667,97,5%,0.05,0.08695652173913043,0.05
Archiva,1,0,1,5,5,1.0,52,10%,0.1,0.2608695652173913,0.1
Archiva,1,0,1,5,5,1.0,52,10%,0.1,0.30434782608695654,0.1
Archiva,2,0,1,6,57,9.5,84,68%,0.68,0.6956521739130435,0.68
Archiva,1,0,1,2,4,2.0,31,13%,0.13,0.4782608695652174,0.13
Archiva,1,0,1,2,1,0.5,3,33%,0.33,0.5217391304347826,0.33
Archiva,2,0,1,2,14,7.0,18,78%,0.78,0.782608695652174,0.78
Archiva,2,0,1,1,9,9.0,27,33%,0.33,0.5652173913043478,0.33
Archiva,1,0,1,1,3,3.0,27,11%,0.11,0.34782608695652173,0.11
Archiva,2,0,1,1,5,5.0,7,71%,0.71,0.7391304347826086,0.71
Archiva,1,0,1,2,1,0.5,22,5%,0.05,0.13043478260869565,0.05
Archiva,2,0,1,8,198,24.75,115,172%,1.72,0.9565217391304348,1.72
Archiva,2,0,1,8,112,14.0,115,97%,0.97,0.8260869565217391,0.97
Archiva,2,0,1,15,467,31.13333333,133,351%,3.51,1.0,3.51
Archiva,2,0,1,14,16,1.142857143,133,12%,0.12,0.43478260869565216,0.12
Archiva,1,0,1,14,14,1.0,133,11%,0.11,0.391304347826087,0.11
Archiva,2,0,1,6,54,9.0,38,142%,1.42,0.8695652173913043,1.42
Archiva,2,0,1,1,6,6.0,16,38%,0.38,0.6086956521739131,0.38
Archiva,1,0,1,4,12,3.0,30,40%,0.4,0.6521739130434783,0.4
Archiva,2,0,1,10,204,20.4,125,163%,1.63,0.9130434782608695,1.63
Archiva,2,0,1,10,13,1.3,256,5%,0.05,0.17391304347826086,0.05
Archiva,2,0,1,10,18,1.8,256,7%,0.07,0.21739130434782608,0.07
Aries,2,0,1,6,20,3.333333333,33,61%,0.61,0.4,0.61
Aries,2,0,1,24,650,27.08333333,266,244%,2.44,0.8,2.44
Aries,2,0,1,4,16,4.0,73,22%,0.22,0.2,0.22
Aries,2,0,1,5,40,8.0,25,160%,1.6,0.6,1.6
Aries,2,0,1,30,894,29.8,297,301%,3.01,1.0,3.01
Beam,2,0,1,5,24,4.8,17,141%,1.41,0.8870523415977961,1.41
Beam,2,0,1,7,36,5.142857143,71,51%,0.51,0.6556473829201102,0.51
Beam,2,0,1,4,14,3.5,44,32%,0.32,0.5289256198347108,0.32
Beam,2,0,1,4,57,14.25,44,130%,1.3,0.8677685950413223,1.3
Beam,2,0,1,1,8,8.0,10,80%,0.8,0.7630853994490359,0.8
Beam,2,0,1,9,152,16.88888889,91,167%,1.67,0.9118457300275482,1.67
Beam,2,0,1,7,40,5.714285714,41,98%,0.98,0.8071625344352618,0.98
Beam,2,0,1,1,8,8.0,10,80%,0.8,0.7658402203856749,0.8
Beam,2,0,1,3,12,4.0,12,100%,1.0,0.8099173553719008,1.0
Beam,2,0,1,19,326,17.15789474,93,351%,3.51,0.977961432506887,3.51
Beam,2,0,1,17,350,20.58823529,82,427%,4.27,0.9889807162534435,4.27
Beam,2,0,1,3,20,6.666666667,36,56%,0.56,0.6804407713498623,0.56
Beam,2,0,1,13,234,18.0,73,321%,3.21,0.9752066115702479,3.21
Beam,2,0,1,9,18,2.0,51,35%,0.35,0.5619834710743802,0.35
Beam,2,0,1,6,68,11.33333333,42,162%,1.62,0.9090909090909091,1.62
Beam,2,0,1,7,48,6.857142857,84,57%,0.57,0.6831955922865014,0.57
Beam,2,0,1,2,8,4.0,26,31%,0.31,0.5179063360881543,0.31
Beam,2,0,1,3,8,2.666666667,38,21%,0.21,0.41597796143250687,0.21
Beam,2,0,1,1,2,2.0,16,13%,0.13,0.2865013774104683,0.13
Beam,2,0,1,15,432,28.8,105,411%,4.11,0.9862258953168044,4.11
Beam,2,0,1,4,16,4.0,36,44%,0.44,0.6115702479338843,0.44
Beam,2,0,1,1,2,2.0,12,17%,0.17,0.36639118457300274,0.17
Beam,2,0,1,2,12,6.0,20,60%,0.6,0.7052341597796143,0.6
Beam,2,0,1,9,76,8.444444444,138,55%,0.55,0.6694214876033058,0.55
Beam,2,0,1,8,8,1.0,54,15%,0.15,0.33884297520661155,0.15
Beam,2,0,1,15,128,8.533333333,103,124%,1.24,0.8567493112947658,1.24
Beam,2,0,1,1,14,14.0,16,88%,0.88,0.7851239669421488,0.88
Beam,2,0,1,1,6,6.0,8,75%,0.75,0.743801652892562,0.75
Beam,2,0,1,8,70,8.75,25,280%,2.8,0.9641873278236914,2.8
Beam,2,0,1,16,162,10.125,88,184%,1.84,0.931129476584022,1.84
Beam,2,0,1,2,8,4.0,8,100%,1.0,0.8126721763085399,1.0
Beam,2,0,1,5,20,4.0,26,77%,0.77,0.7548209366391184,0.77
Beam,2,0,1,7,43,6.142857143,33,130%,1.3,0.8705234159779615,1.3
Beam,1,0,1,1,4,4.0,10,40%,0.4,0.5977961432506887,0.4
Beam,2,0,1,3,28,9.333333333,18,156%,1.56,0.90633608815427,1.56
Beam,2,0,1,10,58,5.8,41,141%,1.41,0.8898071625344353,1.41
Beam,2,0,1,1,5,5.0,13,38%,0.38,0.5867768595041323,0.38
Beam,2,0,1,17,851,50.05882353,178,478%,4.78,0.9917355371900827,4.78
Beam,2,0,1,1,2,2.0,6,33%,0.33,0.5344352617079889,0.33
Beam,2,0,1,6,34,5.666666667,28,121%,1.21,0.8539944903581267,1.21
Beam,2,0,1,4,8,2.0,24,33%,0.33,0.5371900826446281,0.33
Beam,2,0,1,4,8,2.0,24,33%,0.33,0.5399449035812672,0.33
Beam,2,0,1,4,16,4.0,20,80%,0.8,0.768595041322314,0.8
Beam,2,0,1,2,4,2.0,8,50%,0.5,0.6363636363636364,0.5
Beam,2,0,1,6,42,7.0,48,88%,0.88,0.7878787878787878,0.88
Beam,2,0,1,3,12,4.0,9,133%,1.33,0.8760330578512396,1.33
Beam,2,0,1,8,48,6.0,32,150%,1.5,0.9008264462809917,1.5
Beam,2,0,1,2,4,2.0,12,33%,0.33,0.5426997245179064,0.33
