Project,ConvertedFrom,ConvertedTo,BeforeCount,AfterCount,CCTRChange,CCTRChangePerTest,%
Ambari,0,1,4,1,-4.0,-1.0,-0.4
Ambari,0,1,4,1,-4.0,-1.0,-0.4
Ambari,0,2,9,1,-40.0,-4.444444444444445,-0.5263157894736842
Ambari,0,2,7,1,-12.0,-1.7142857142857142,-0.3157894736842105
Ambari,0,1,2,1,-6.0,-3.0,-0.6
Apex,0,1,2,1,-2.0,-1.0,-1.0
Archiva,0,1,6,1,-42.0,-7.0,-1.0
Archiva,0,1,6,1,-18.0,-3.0,-0.5294117647058824
Aries,0,2,6,1,-18.0,-3.0,-0.32142857142857145
Aries,0,2,3,1,-15.0,-5.0,-0.7894736842105263
Aries,0,2,11,1,-33.0,-3.0,-0.42857142857142855
Aries,0,2,7,1,-21.0,-3.0,-0.4666666666666667
Aries,0,2,4,1,-4.0,-1.0,-0.2
Aries,0,2,2,1,-6.0,-3.0,-0.6
Aries,0,2,6,1,-6.0,-1.0,-0.17647058823529413
Aries,0,1,2,1,-10.0,-5.0,-0.8333333333333334
Aries,0,1,2,1,-2.0,-1.0,-0.25
Aries,0,1,2,1,-2.0,-1.0,-0.3333333333333333
Aries,0,1,2,1,-2.0,-1.0,-1.0
Aries,0,1,3,1,-3.0,-1.0,-0.1111111111111111
Aries,0,1,5,1,-5.0,-1.0,-0.38461538461538464
Aries,0,1,2,1,-2.0,-1.0,-1.0
Aries,0,2,2,1,-6.0,-3.0,-0.5
Aries,0,1,3,1,-15.0,-5.0,-1.0
Aries,0,1,2,1,-2.0,-1.0,-1.0
Aries,0,1,2,1,-10.0,-5.0,-1.0
Aries,0,2,4,1,-16.0,-4.0,-0.5714285714285714
Aries,0,2,4,1,-10.0,-2.5,-0.7692307692307693
Aries,0,1,8,1,-19.0,-2.375,-0.95
Aries,0,1,3,1,-3.0,-1.0,-1.0
Aries,0,1,3,1,-3.0,-1.0,-1.0
Aries,0,1,3,1,-3.0,-1.0,-0.3333333333333333
Aries,0,2,5,1,-5.0,-1.0,-0.23809523809523808
Aries,0,2,39,1,-43.0,-1.1025641025641026,-0.16538461538461538
Aries,0,2,16,1,-51.0,-3.1875,-0.4811320754716981
Aries,0,2,3,1,-3.0,-1.0,-0.2
Aries,0,2,2,1,-2.0,-1.0,-0.09090909090909091
Aries,0,2,3,1,-8.0,-2.6666666666666665,-0.6666666666666666
Aries,0,2,16,1,-56.0,-3.5,-0.7272727272727273
Aries,0,2,2,1,-2.0,-1.0,-0.2
Aries,0,1,7,1,-37.0,-5.285714285714286,-0.7254901960784313
Aries,0,2,2,1,-6.0,-3.0,-0.6
Aries,0,2,4,1,-20.0,-5.0,-0.6060606060606061
Aries,0,1,2,1,-14.0,-7.0,-0.7777777777777778
Aries,0,1,2,1,-2.0,-1.0,-1.0
Aries,0,2,8,1,-38.0,-4.75,-0.5428571428571428
Aries,0,2,3,1,-9.0,-3.0,-0.3103448275862069
Aries,0,1,3,1,-15.0,-5.0,-1.0
Aries,0,1,6,1,-20.0,-3.333333333333333,-1.0
Aries,0,1,2,1,-6.0,-3.0,-1.0
Aries,0,2,3,1,-15.0,-5.0,-0.4838709677419355
Aries,0,1,4,1,-12.0,-3.0,-0.6666666666666666
Aries,0,1,2,1,-6.0,-3.0,-0.75
Avro,0,2,4,1,-12.0,-3.0,-0.5
Avro,0,1,2,1,-2.0,-1.0,-0.3333333333333333
Avro,0,1,3,1,-3.0,-1.0,-0.3333333333333333
Avro,0,1,2,1,-12.0,-6.0,-0.6
Axis2,0,1,3,1,-9.0,-3.0,-0.75
Beam,0,1,2,1,-2.0,-1.0,-0.1111111111111111
Beam,0,1,4,1,-12.0,-3.0,-0.6
Beam,0,2,2,1,-2.0,-1.0,-0.3333333333333333
Beam,0,1,10,1,-30.0,-3.0,-0.8333333333333334
Beam,0,2,5,1,-15.0,-3.0,-0.42857142857142855
Beam,0,1,5,1,0.0,-0.0,0.0
Beam,0,1,2,1,-6.0,-3.0,-0.6
Beam,0,2,3,1,-95.0,-31.666666666666668,-0.8558558558558559
Beam,0,2,9,1,-30.0,-3.333333333333333,-0.45454545454545453
Beam,0,2,3,1,-9.0,-3.0,-0.5294117647058824
Beam,0,2,14,1,-14.0,-1.0,-0.21212121212121213
Beam,0,1,3,1,-10.0,-3.333333333333333,-0.5
Beam,0,1,2,1,-18.0,-9.0,-1.0
Beam,0,1,3,1,0.0,-0.0,0.0
Beam,0,1,2,1,-2.0,-1.0,-1.0
Beam,0,2,3,1,-3.0,-1.0,-0.23076923076923078
Beam,0,2,3,1,-21.0,-7.0,-0.7241379310344828
Beam,0,1,2,1,-2.0,-1.0,-1.0
Beam,0,1,2,1,-2.0,-1.0,-1.0
Beam,0,2,4,1,-29.0,-7.25,-0.7837837837837838
Beam,0,2,2,1,-2.0,-1.0,-0.2
Beam,0,1,2,1,-16.0,-8.0,-0.6666666666666666
Beam,0,1,3,1,0.0,-0.0,0.0
Beam,0,1,3,1,-3.0,-1.0,-0.42857142857142855
Beam,0,2,4,1,-12.0,-3.0,-0.75
Beam,0,1,2,1,-2.0,-1.0,-0.3333333333333333
Beam,0,1,3,1,-3.0,-1.0,-1.0
Beam,0,1,6,1,-30.0,-5.0,-1.0
Beam,0,1,5,1,-5.0,-1.0,-0.3333333333333333
Beam,0,1,2,1,-10.0,-5.0,-0.7142857142857143
Beam,0,1,3,1,0.0,-0.0,0.0
Beam,0,1,2,1,-6.0,-3.0,-0.5
Beam,0,1,3,1,-6.0,-2.0,-1.0
Beam,0,1,2,1,-4.0,-2.0,-1.0
Beam,0,1,2,1,0.0,-0.0,0.0
Beam,0,1,2,1,-2.0,-1.0,-1.0
Beam,0,1,2,1,-2.0,-1.0,-1.0
Beam,0,2,5,1,-5.0,-1.0,-0.4166666666666667
Beam,0,1,2,1,-2.0,-1.0,-0.16666666666666666
Beam,0,1,8,1,-27.0,-3.375,-0.627906976744186
Beam,0,1,10,1,-30.0,-3.0,-0.6
Beam,0,1,3,1,-9.0,-3.0,-0.8181818181818182
Beam,0,1,4,1,-8.0,-2.0,-1.0
Beam,0,1,2,1,-6.0,-3.0,-0.6
Beam,0,2,4,1,-4.0,-1.0,-0.16666666666666666
Beam,0,1,3,1,0.0,-0.0,0.0
Beam,0,1,4,1,-12.0,-3.0,-0.46153846153846156
Beam,0,1,4,1,-4.0,-1.0,-1.0
Beam,0,1,5,1,-15.0,-3.0,-0.6
Beam,0,1,3,1,-3.0,-1.0,-1.0
Beam,0,1,2,1,-6.0,-3.0,-0.375
Beam,0,1,3,1,-3.0,-1.0,-0.3333333333333333
Beam,0,1,3,1,-3.0,-1.0,-1.0
Beam,0,1,2,1,-2.0,-1.0,-0.3333333333333333
Beam,0,1,2,1,0.0,-0.0,0.0
Beam,0,1,10,1,-32.0,-3.2,-1.0
Beam,0,1,2,1,-2.0,-1.0,-1.0
Beam,0,1,2,1,-2.0,-1.0,-1.0
Beam,0,1,3,1,-9.0,-3.0,-0.75
Beam,0,2,2,1,-6.0,-3.0,-0.6
Beam,0,2,5,1,-15.0,-3.0,-0.4838709677419355
Beam,0,1,6,1,-18.0,-3.0,-0.6
Beam,0,1,3,1,-12.0,-4.0,-0.5714285714285714
Beam,0,1,3,1,-12.0,-4.0,-0.5714285714285714
Beam,0,1,2,1,-9.0,-4.5,-1.0
